timestamp,open,high,low,close,volume
2013-04-12,530.6900,542.3200,523.1500,532.9900,2995400
2013-04-05,542.4400,546.9000,526.2700,531.6000,2474200
2013-03-28,520.2500,541.9600,518.7710,541.1300,2769800
2013-03-22,515.3100,519.6600,508.1580,517.5000,2704400
2013-03-15,529.5800,532.4700,518.2200,519.3700,3076900
2013-03-08,515.9800,531.2300,515.7610,529.2300,2631300
2013-03-01,525.3400,526.0000,507.3600,518.3000,3391100
2013-02-22,525.0000,526.4900,510.5600,523.8300,2301600
2013-02-15,525.6200,526.1600,516.1500,523.1300,2677900
2013-02-08,516.2900,524.4700,512.0900,524.4700,3188200
2013-02-01,520.9400,535.3500,513.0000,518.7100,5879700
2013-01-25,524.7900,525.6998,514.6300,519.4200,2547900
2013-01-18,529.5500,529.9800,513.4200,521.0000,3797800
2013-01-11,513.0100,532.4700,511.6600,528.6800,4883000
2013-01-04,483.3700,515.4580,482.9000,510.9800,3976700
2012-12-28,492.8600,496.2500,481.1200,483.0800,1936300
2012-12-21,483.4200,498.6200,481.0801,493.5700,3710900
2012-12-14,480.3600,487.6000,475.4800,482.3000,3488500
2012-12-07,491.0000,494.5100,473.8610,476.0900,3393800
2012-11-30,480.1800,490.7500,474.7700,488.6800,3534300
2012-11-23,469.4000,482.5800,468.3950,481.2400,1893500
2012-11-16,465.6800,476.9200,453.5700,464.5900,3416400
2012-11-09,467.2600,472.8940,458.4800,464.6600,3054900
2012-11-02,452.5200,476.9890,451.1800,469.4500,3080800
2012-10-26,472.9800,472.9800,447.3800,452.9800,3792100
2012-10-19,472.3400,486.0800,467.9000,470.0600,3965800
2012-10-12,474.2400,476.0400,460.4800,473.3600,3957200
2012-10-05,453.1800,483.0000,452.5000,475.2700,3762500
2012-09-28,457.5000,457.7300,445.7700,451.4800,2799900
2012-09-21,454.3200,461.7900,447.2500,459.5200,3912800
2012-09-14,436.6200,456.6600,436.3300,454.1800,3585400
2012-09-07,417.5400,436.7900,417.5400,436.2000,2636900
2012-08-31,422.4900,426.4700,419.0100,422.9000,2114300
2012-08-24,427.1000,429.8100,416.6700,422.4500,2642100
2012-08-17,424.5700,433.1500,422.1200,426.8100,2333500
2012-08-10,424.2000,427.8640,413.1820,426.0300,4155600
2012-08-03,436.2000,446.7500,418.1000,424.1300,6487400
2012-07-27,416.2700,436.7500,404.7000,436.7500,4137800
2012-07-20,439.7700,448.0000,421.4300,423.1500,4660400
2012-07-13,434.3300,436.4300,412.8400,429.6000,3928700
2012-07-06,435.0700,445.2500,430.1600,441.6300,2517900
2012-06-29,432.8500,435.7300,416.7600,430.1100,3662400
2012-06-22,424.9300,435.0800,420.6000,435.0800,3243300
2012-06-15,420.5000,426.6900,408.0000,426.6900,3336100
2012-06-08,391.7000,425.0700,390.1000,416.5500,4597200
2012-06-01,417.3300,419.7500,389.9000,391.7800,3330000
2012-05-25,396.0000,428.7700,394.2000,413.9600,5163800
2012-05-18,418.1700,421.0000,394.5600,394.5600,5501700
2012-05-11,434.6500,442.8200,418.2700,422.4000,5064300
2012-05-04,459.4000,466.9800,433.8400,439.6900,7882300
2012-04-27,436.0100,462.3399,420.7500,457.5800,5086600
2012-04-20,440.8700,443.2900,429.0100,440.4400,3407700
2012-04-13,432.9400,443.8000,424.1900,440.4600,4282100
2012-04-05,421.8400,442.2000,419.0000,439.8500,3880000
2012-03-30,427.2900,437.5600,420.0000,420.5400,3986800
2012-03-23,419.7700,428.1000,415.0100,424.0100,3291600
2012-03-16,418.0700,426.1290,416.8000,420.1700,3366200
2012-03-09,414.5200,421.0700,406.2780,419.5200,4051900
2012-03-02,412.3300,428.5700,410.9700,412.7800,4781400
2012-02-24,395.4500,418.7600,394.0100,415.6100,4276000
2012-02-17,399.5200,400.0000,389.7700,396.0000,3572300
2012-02-10,393.0000,401.7900,387.0000,396.1400,5139800
2012-02-03,346.9700,391.3000,346.2500,390.3200,9081100
2012-01-27,339.9500,354.9360,336.2600,348.7900,4264000
2012-01-20,341.0700,356.0000,337.5000,340.6600,5136500
2012-01-13,344.8700,351.2800,337.3200,339.0800,6189800
2012-01-06,378.3700,378.6400,341.7800,342.9200,7319300
2011-12-30,378.7900,381.3200,371.3900,372.8200,1979000
2011-12-23,362.7000,378.1500,358.0000,378.1500,4604900
2011-12-16,373.9800,375.3080,358.2900,362.1600,3949000
2011-12-09,382.9900,383.3500,366.3600,377.4200,4475900
2011-12-02,355.9250,384.9900,354.8000,378.3800,5232500
2011-11-25,355.0100,358.3500,345.0000,346.2000,3507500
2011-11-18,366.2700,373.5500,356.0000,360.4200,4759100
2011-11-11,361.9700,370.3700,355.3700,370.1500,4764400
2011-11-04,351.1500,368.9900,333.3600,360.0900,7963300
2011-10-28,332.8000,355.0000,324.5800,354.5800,5410600
2011-10-21,340.8400,342.1600,322.4900,333.4000,5514000
2011-10-14,315.5300,344.9200,315.5300,341.5800,5660000
2011-10-07,314.5000,324.0000,293.0100,311.4600,8314000
2011-09-30,339.8400,343.9600,312.4800,317.1600,6585400
2011-09-23,341.5500,361.9400,323.2320,337.0300,8870500
2011-09-16,319.5800,352.0000,314.6950,346.9500,11827500
2011-09-09,313.0800,345.1300,311.5200,322.0200,6239300
2011-09-02,329.4700,335.7500,320.0501,320.6800,5594500
2011-08-26,307.9400,329.8100,301.4000,325.3300,5150800
2011-08-19,331.0200,338.5000,300.0000,300.1600,8119300
2011-08-12,314.8700,332.7200,291.6710,328.0700,12377700
2011-08-05,308.2400,340.4200,298.4900,326.5400,11888800
2011-07-29,310.2701,318.7100,299.6000,303.2500,4345000
2011-07-22,306.6400,315.7100,303.9500,314.1400,4351600
2011-07-15,313.1900,313.3500,303.7300,307.5500,5654300
2011-07-08,312.4200,322.2771,312.0000,315.2900,5343300
2011-07-01,273.0800,315.6400,270.4000,314.4700,12487200
2011-06-24,265.9900,276.3000,265.3701,274.2000,3678900
2011-06-17,267.0200,275.6800,264.8700,266.0900,5025400
2011-06-10,276.7600,277.7300,258.3360,267.0300,6912400
2011-06-03,286.7800,288.5700,275.5100,277.0600,3387000
2011-05-27,274.5000,286.3200,268.0000,285.2400,5289900
2011-05-20,278.2100,284.7700,276.5100,277.5700,4052000
2011-05-13,274.5200,282.7500,273.1100,280.0000,3017800
2011-05-06,276.9700,286.8000,273.0700,274.2500,5108400
2011-04-29,273.2800,278.1000,253.6600,275.8900,2979100
2011-04-21,266.4900,273.7500,263.4800,273.2800,2722900
2011-04-15,262.8800,269.9600,260.5500,267.5800,4860300
2011-04-08,254.9100,267.0000,254.8600,263.0600,4908600
2011-04-01,250.7600,262.3800,247.8300,253.5500,5619900
2011-03-25,243.3300,253.3000,243.3300,247.7000,4193400
2011-03-18,247.2000,249.5900,241.4000,241.6800,4256300
2011-03-11,249.9100,252.8900,242.0200,248.4200,4025300
2011-03-04,247.5800,251.7800,240.3600,249.7500,5042300
2011-02-25,245.3100,250.5300,242.9610,246.7100,3476200
2011-02-18,252.5400,258.8300,248.6100,250.7400,5027700
2011-02-11,247.2700,254.8360,247.2700,253.4900,3085300
2011-02-04,234.0000,249.4300,230.3100,247.2400,5266400
2011-01-28,233.5400,243.6000,233.4600,234.8700,4236500
2011-01-21,236.2200,238.9799,228.0300,233.5300,5571900
2011-01-14,231.3500,236.9100,228.3900,236.9100,4797500
2011-01-07,226.4400,233.4800,219.3300,231.0900,9062700
2010-12-31,218.3000,226.7500,217.5370,224.1100,4191700
2010-12-23,221.3000,226.0000,215.4200,218.3000,9693000
2010-12-17,254.5800,260.7199,215.0000,221.2600,18769000
2010-12-10,247.2500,255.6600,246.1800,254.7600,4019900
2010-12-03,234.9000,250.0000,230.0100,249.0800,5693300
2010-11-26,242.5200,244.1600,233.0000,235.1500,3406300
2010-11-19,242.8200,247.4900,232.7200,243.8800,5382500
2010-11-12,255.0000,255.8800,242.6100,243.1700,3592900
2010-11-05,242.6100,256.8900,238.2300,256.2900,6487000
2010-10-29,244.1000,248.5000,237.4200,240.0600,4919100
2010-10-22,234.9000,246.2500,232.5000,242.6400,5091200
2010-10-15,222.3100,235.6400,220.0000,233.7000,6081300
2010-10-08,225.5800,227.9900,219.0000,222.5900,4950600
2010-10-01,221.0000,226.3000,220.3500,224.7800,5233300
2010-09-24,214.0000,223.2000,211.5200,221.5700,7844200
2010-09-17,196.6700,214.3500,191.0000,213.6700,14690700
2010-09-10,204.6500,205.9300,191.2000,198.1400,6833500
2010-09-03,207.6500,207.6500,197.0600,206.9800,5158500
2010-08-27,208.3300,208.5400,201.0600,206.6200,4175000
2010-08-20,209.1900,215.1400,204.8100,206.3700,3565900
2010-08-13,209.6000,217.4100,207.0000,210.6400,7257200
2010-08-06,207.4800,208.1200,198.0000,207.4200,11584600
2010-07-30,213.6500,217.0500,204.5000,210.0400,4866500
